Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
254,VCALL10,155.7525,off,0.000,None,,,,,NFM,5.00,,"""National VHF calling channel"
255,VFIRE22,154.265,off,0.000,None,,,,,NFM,5.00,,"""Emergency fire operations"
256,VFIRE23,154.295,off,0.000,None,,,,,NFM,5.00,,"""Emergency fire operations"
257,VMED29,155.3475,off,0.000,None,,,,,NFM,5.00,,Mass casualty incident operations
258,VSAR16,155.160,off,0.000,None,,,,,NFM,5.00,,Search and Rescue operations
259,UTAC43,453.8625,off,0.000,None,,,,,NFM,5.00,,Emergency tactical operations
260,MED-9,462.950,off,0.000,None,,,,,NFM,5.00,,Hospital/EMS coordination (primary)
261,MED-10,462.975,off,0.000,None,,,,,NFM,5.00,,Hospital/EMS coordination (secondary)
262,MED-1,463.000,off,0.000,None,,,,,NFM,5.00,,Hospital/EMS tactical operations
263,MED-2,463.025,off,0.000,None,,,,,NFM,5.00,,Hospital/EMS tactical operations
264,8TAC93,852.5125,off,0.000,None,,,,,FM,5.00,,Emergency tactical operations
265,8TAC94,853.0125,off,0.000,None,,,,,FM,5.00,,Emergency tactical operations
266,NC1/IR5,169.5375,off,0.000,None,,,,,NFM,5.00,,Federal incident response calling
267,IR1/IR6,170.0125,off,0.000,None,,,,,NFM,5.00,,Federal incident command
268,IR2/IR7,170.4125,off,0.000,None,,,,,NFM,5.00,,Medical evacuation control
269,VTAC11,151.1375,off,0.000,None,,,,,NFM,5.00,,"""VHF tactical operations"
270,VTAC12,154.4525,off,0.000,None,,,,,NFM,5.00,,"""VHF tactical operations"
271,VFIRE21,154.280,off,0.000,None,,,,,NFM,5.00,,Common fire mutual aid channel
272,VMED28,155.340,off,0.000,None,,,,,NFM,5.00,,Primary EMS mutual aid channel
273,VLAW31,155.475,off,0.000,None,,,,,NFM,5.00,,Primary law enforcement mutual aid
274,UCALL40,453.2125,off,0.000,None,,,,,NFM,5.00,,National UHF calling channel
275,UTAC41,453.4625,off,0.000,None,,,,,NFM,5.00,,UHF tactical operations
276,UTAC42,453.7125,off,0.000,None,,,,,NFM,5.00,,UHF tactical operations
277,8CALL90,851.0125,off,0.000,None,,,,,FM,5.00,,National 800MHz calling channel
278,8TAC91,851.5125,off,0.000,None,,,,,FM,5.00,,800MHz tactical operations
279,8TAC92,852.0125,off,0.000,None,,,,,FM,5.00,,800MHz tactical operations
280,FEMA 1/2,406.2625,off,0.000,None,,,,,NFM,5.00,,"""FEMA primary operations"
281,IR1/IR6,170.0125,off,0.000,None,,,,,NFM,5.00,,Federal incident command post operations
282,IR2/IR7,170.4125,off,0.000,None,,,,,NFM,5.00,,Medical evacuation coordination
283,IR3/IR8,170.6875,off,0.000,None,,,,,NFM,5.00,,Logistics and supply coordination
284,IR4/IR9,173.0375,off,0.000,None,,,,,NFM,5.00,,Interagency convoy operations
285,7AG58,769.13125,off,0.000,None,,,,,NFM,5.00,,Air operations coordination primary
286,7AG88,774.61875,off,0.000,None,,,,,NFM,5.00,,Landing zone coordination
287,7FIRE63,769.89375,off,0.000,None,,,,,NFM,5.00,,Federal-Fire coordination primary
288,7MED65,769.39375,off,0.000,None,,,,,NFM,5.00,,Federal-EMS coordination primary
289,7TAC73,774.10625,off,0.000,None,,,,,NFM,5.00,,Federal incident tactical operations
290,7MOB59,770.89375,off,0.000,None,,,,,NFM,5.00,,Mobile command post operations
291,VLAW31,155.475,off,0.000,None,,,,,NFM,5.00,,Federal to local law enforcement coordination
292,MED-9,462.950,off,0.000,None,,,,,NFM,5.00,,Hospital/EMS mass casualty coordination
293,700 DTS 5,774.51875,off,0.000,None,,,,,NFM,5.00,,Deployable trunked system control
294,700 DTS 6,774.86875,off,0.000,None,,,,,NFM,5.00,,Deployable trunked system tactical
295,MERS 9/10,410.8625,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response major incidents
296,MERS 11/12,407.450,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response command ops
297,MERS 13/14,408.0625,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response tactical
298,NDMS 5/6,407.4625,off,0.000,None,,,,,NFM,5.00,,Medical disaster response tactical
299,NDMS 7/8,409.075,off,0.000,None,,,,,NFM,5.00,,Medical disaster response command
300,U5D,409.6625,off,0.000,None,,,,,NFM,5.00,,USAR digital command operations
301,U7D,409.8625,off,0.000,None,,,,,NFM,5.00,,USAR digital tactical operations
302,U5A,409.6625,off,0.000,None,,,,,NFM,5.00,,USAR analog command operations
303,U7A,409.8625,off,0.000,None,,,,,NFM,5.00,,USAR analog tactical operations
304,FEMA 3/4,407.0625,off,0.000,None,,,,,NFM,5.00,,"""FEMA tactical operations"
305,FEMA 5/6,407.6625,off,0.000,None,,,,,NFM,5.00,,"""FEMA command operations"
306,MERS 1,412.825,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response Support 1
307,MERS 2,412.850,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response Support 2
308,MERS 3,412.8375,off,0.000,None,,,,,NFM,5.00,,Mobile Emergency Response Support 3
309,DMAT,409.000,off,0.000,None,,,,,NFM,5.00,,Disaster Medical Assistance Team ops
310,NDMS 1/2,406.8625,off,0.000,None,,,,,NFM,5.00,,National Disaster Medical System primary
311,U1D,408.8625,off,0.000,None,,,,,NFM,5.00,,Urban Search & Rescue digital primary
312,U3D,409.2625,off,0.000,None,,,,,NFM,5.00,,Urban Search & Rescue digital tactical
313,U1A,408.8625,off,0.000,None,,,,,NFM,5.00,,Urban Search & Rescue analog primary
314,U3A,409.2625,off,0.000,None,,,,,NFM,5.00,,Urban Search & Rescue analog tactical
315,RC1,47.420,off,0.000,None,,,,,FM,5.00,,Nationwide Red Cross primary operations
316,GMRS 15,462.5625,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
317,GMRS 16,462.5875,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
318,GMRS 17,462.6125,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
319,GMRS 18,462.6375,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
320,GMRS 19,462.6625,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
321,GMRS 20,462.6875,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
322,GMRS 21,462.7125,off,0.000,None,,,,,FM,5.00,,"""Standard GMRS/FRS simplex"
323,RC2,47.500,off,0.000,None,,,,,FM,5.00,,Nationwide Red Cross secondary operations
324,GMRS 1,462.550,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
325,GMRS 2,462.575,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
326,GMRS 3,462.600,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
327,GMRS 4,462.625,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
328,GMRS 5,462.650,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
329,GMRS 6,462.675,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
330,GMRS 7,462.700,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
331,GMRS 8,462.725,-,5.0,None,,,,,FM,5.00,,Standard GMRS repeater channel
332,MURS 1,151.820,off,0.000,None,,,,,NFM,5.00,,"""MURS green dot channel"
333,FRS 8,467.5625,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 8"
334,FRS 9,467.5875,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 9"
335,FRS 10,467.6125,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 10"
336,FRS 11,467.6375,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 11"
337,FRS 12,467.6625,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 12"
338,FRS 13,467.6875,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 13"
339,FRS 14,467.7125,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 14"
340,FRS 15,462.550,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 15 (shared with GMRS)"
341,FRS 16,462.575,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 16 (shared with GMRS)"
342,FRS 17,462.600,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 17 (shared with GMRS)"
343,FRS 18,462.625,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 18 (shared with GMRS)"
344,FRS 19,462.650,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 19 (shared with GMRS)"
345,FRS 20,462.675,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 20 (shared with GMRS)"
346,FRS 21,462.700,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 21 (shared with GMRS)"
347,FRS 22,462.725,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 22 (shared with GMRS)"
348,MURS 2,151.880,off,0.000,None,,,,,NFM,5.00,,"""MURS standard channel"
349,MURS 3,151.940,off,0.000,None,,,,,NFM,5.00,,"""MURS standard channel"
350,MURS 4,154.570,off,0.000,None,,,,,FM,5.00,,"""MURS blue dot channel"
351,MURS 5,154.600,off,0.000,None,,,,,FM,5.00,,"""MURS green dot channel"
352,FRS 1,462.5625,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 1"
353,FRS 2,462.5875,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 2"
354,FRS 3,462.6125,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 3"
355,FRS 4,462.6375,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 4"
356,FRS 5,462.6625,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 5"
357,FRS 6,462.6875,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 6"
358,FRS 7,462.7125,off,0.000,None,,,,,NFM,5.00,,"""FRS channel 7"
